Load_NO,Load_SE,Load_FI,Load_DK,Load_IE,Load_UK,Load_NL,Load_BE,Load_LU,Load_DE,Load_PL,Load_LV,Load_EE,Load_LT,Load_CZ,Load_AT,Load_SK,Load_HU,Load_FR,Load_CH,Load_IT,Load_SI,Load_HR,Load_RO,Load_BG,Load_GR,Load_ES,Load_PT
10759,10834,7482,2875,2500,17222,10169.5,7609,458,43199.75,14914,602,730,1220,5030,5625.25,2465,4196.25,36057,6945,28344,1211,1712,5680.75,3477,5122,22067,4404
11610,12019,7907,3332,2523,20223,10447.75,8221.5,525,50853.25,17766,701,831,1386,5665,6651.25,2789,4808.75,38964,5824,32344,1496,2004,6465,3839,5706,24090,4455
12418,13307,8204,3857,2729,23442,10953.25,9051.5,590,56511.75,20170,814,910,1545,6161,7520.25,3015,5197.25,43262,6130,37882,1655,2334,7161.5,4203,6445,26462,4717
12940,13663,8413,4189,3177,24768.5,10918,9721.25,636.5,60338,21512,871,941,1620,6528,8024.25,3222,5370.25,46986,6932,42952,1663,2592,7471.5,4294,7017,28008,5215
13084,13878,8512,4227,3603,25033.5,10455.5,10157.75,654.25,61210.25,21922,884,954,1653,6765,8189.5,3334,5491.75,48997,7439,45638,1664,2748,7694,4327,7334,29410,5996
13049,14147,8558,4126,3813.5,24907.5,10207.5,10438.25,669.75,62251.5,21958,887,949,1673,6902,8289.25,3374,5562.25,50440,7495,47316,1701,2834,7785.5,4454,7536,30547,6334
13020,14042,8557,4186,3847.5,25005.5,9820.25,10534.5,682,64270.25,22266,876,944,1663,7053,8524.75,3430,5627.5,51650,7737,48123,1760,2987,7869.25,4461,7775,31331,6439
12942,13928,8606,4159,3889,24725.5,9314.5,10274.25,683,64409,22417,899,966,1650,7057,8431,3456,5723.5,52942,7868,47157,1843,3095,7989,4515,7895,32169,6536
12923,13800,8620,4054,3892,23965.5,8930,10356.5,675,63213.25,22599,901,920,1603,7009,8323.5,3422,5782.5,52167,7463,47645,1842,3131,7935.75,4522,7889,32757,6404
13017,13842,8549,4196,3880,23574.5,8535.25,10148.75,661.5,63442.75,22133,887,925,1593,6933,8145.5,3378,5857,51220,7558,48834,1745,3084,7872,4515,7669,32635,6308
12692,13813,8459,4389,3822.5,23733,8656,10129,650.25,62412.25,22095,862,948,1528,6916,8127.25,3338,5974.25,50246,7557,49687,1694,3008,7791.5,4512,7472,32112,6385
12600,13730,8367,4426,3812,25118,9328,9889,642,61119.75,21942,829,975,1491,6793,8045.75,3295,6083,49322,7584,49838,1677,2988,7748.25,4464,7366,31873,6411
12678,13505,8274,4571,3856,26680,10509,9977.5,644.5,60444.25,21763,813,985,1470,6709,8006.5,3258,6153.25,48905,7581,48914,1677,2942,7633.25,4519,7256,31828,6447
12519,13463,8253,4412,3995.5,27196,11053.5,10010,648.75,59918.5,21407,784,946,1449,6518,7853,3197,6241.5,49380,7366,47135,1713,2928,7528.25,4505,7170,31446,6381
12650,13483,8142,4179,3945,27663,11673.25,9697,634.75,59221.5,21667,768,915,1445,6394,7559.5,3187,6276.5,49765,7260,45296,1771,2921,7472.5,4402,7031,31251,6330
12533,12787,7856,3921,3799,27316,12291.25,9277.25,600.5,56466.5,21645,740,858,1409,6185,7282.25,3157,6203.5,47411,7001,43419,1741,2898,7514.5,4369,7174,31205,6546
12404,12420,7857,3679,3638.5,26453.5,12490,9086,566,54260.75,21235,709,807,1391,6147,6959,3093,6128.25,45414,6685,42447,1721,2903,7224.5,4292,6841,30871,6549
12138,12117,7663,3488,3509,24846.5,12455.25,9220,546.5,51945.75,20245,669,758,1295,5929,6599.75,2932,5772,46740,6522,39693,1605,2766,6664.5,3996,6508,30535,6531
11585,11786,7381,3276,3385,22013.5,11947,8862,513,48115,18776,607,705,1192,5512,6045.75,2786,5435.25,46502,6414,36918,1493,2464,6111.25,3642,6017,28361,6290
11459,11276,7027,3120,3141,20024.5,11364.5,8453.75,478.5,45239.25,17560,560,660,1120,5129,5750.25,2641,5036,42711,5961,34098,1382,2151,5838,3409,5603,26968,5798
11287,10917,6912,2985,2890.5,18802,10896.75,8229,460.5,43561.25,16784,540,638,1077,5001,5439.75,2497,4747.5,40421,5713,32175,1293,1982,5644,3258,5323,25297,5375
10850,10944,6802,2881,2730.5,18191.5,10600,7932.75,450.25,42694.75,16360,520,618,1062,4920,5404.25,2452,4553.25,38996,5815,31030,1237,1882,5578.75,3172,5172,24146,5083
11088,11006,6754,2853,2639,18100,10463,7864,453.25,42973.25,16307,504,586,1054,4939,5256.5,2431,4484.25,36999,6478,30453,1260,1846,5569.5,3194,5088,23822,4898
10973,10831,6950,2862,2593.5,17910.5,10495.5,7927,461.75,43765.5,16119,527,601,1094,4927,5383.75,2423,4503.5,36530,6914,30187,1264,1838,5531.25,3238,5063,23556,4814
10963,11281,7416,2928,2589.5,18477.5,10496,8052,479.25,46175,16487,606,699,1260,4813,5889,2366,4651.75,37862,6756,30693,1363,1838,5885.25,3479,5193,23990,4787
11785,12812,7828,3388,2597.5,21475.5,10754,8572.75,535,52778.5,18784,721,789,1433,5080,6874,2444,5141.75,40610,6542,33774,1596,2082,6627.5,3825,5733,25796,4791
12472,13524,8096,3913,2798,24378,11253.5,9235.75,595.25,57921.5,20578,827,881,1557,5428,7700.5,2577,5479.75,44868,6324,38699,1733,2375,7216.75,4179,6437,27922,4932
12929,13837,8272,4176,3241.5,25463,11294.75,9915.25,641.25,61609.5,21634,873,886,1615,5786,8203,2730,5592,48088,6934,43384,1735,2610,7538.75,4339,6995,29269,5415
12979,13892,8394,4355,3682.5,26280.5,10891.25,10239.5,668.25,62721.75,22166,894,937,1622,6176,8356,2887,5663.5,50057,7355,45820,1735,2723,7709.5,4379,7328,30719,6182
13010,13809,8521,4506,3892.5,25824,10364.25,10485.75,684.5,64435.5,22220,892,940,1619,6422,8432.5,2963,5727.5,51244,7445,46629,1741,2782,7790,4453,7588,31958,6499
13098,14150,8573,4573,3924.5,25615,10093.5,10487.5,697.5,64940.5,22647,877,961,1607,6611,8503.25,3065,5805.5,52260,7570,47306,1749,2901,7916.25,4480,7828,32885,6531
13004,14066,8539,4591,3958,25520,9700,10343.25,697,65230.25,22778,890,975,1629,6540,8230,3009,5815.75,53402,7685,46488,1738,2976,8032.25,4538,8013,33761,6645
12937,14118,8474,4644,3991,25321.5,9326.5,10508.75,687.5,64932.25,22462,883,909,1599,6427,8120,2952,5730.5,52553,7314,47057,1731,2958,8012.25,4506,7893,34312,6593
13017,14505,8417,4414,4009,24979,9390.5,10367.75,672.25,63895.75,22305,875,875,1531,6318,7938.75,2857,5664.5,52207,7308,48658,1720,2901,7960.25,4502,7690,34139,6572
12982,14384,8341,4287,3960.5,25120,9704.5,10009.5,660.5,63270.75,22307,851,871,1475,6268,7830.5,2827,5624.25,51182,7239,49559,1664,2829,7888,4498,7478,33555,6674
12961,13655,8266,4274,3956.5,26195,10091.75,9945,651,62196.75,21932,815,856,1432,6203,7701.25,2801,5558,50007,7248,49739,1680,2782,7790.5,4440,7443,33255,6665
12757,13896,8174,4441,4009,27327.5,10973.25,10017.5,645.5,61027.5,21598,805,883,1406,6052,7602.5,2761,5552.25,49350,7224,48856,1680,2758,7706.25,4513,7460,33089,6658
12616,14108,8090,4315,4127,27761.5,11270.25,9968.75,648.75,60297.25,21292,791,864,1394,5923,7454.5,2796,5624.5,49861,6975,47182,1694,2756,7614.5,4522,7370,32425,6546
12550,13562,8003,4031,4111.5,27926,11658,9725.25,633.75,59329.25,21443,761,837,1367,5830,7326.25,2792,5650.75,49796,6924,46152,1726,2755,7516.25,4420,7243,32019,6551
12412,13554,7688,3719,3925,27387,12129,9414.5,601.25,57023.75,21447,733,773,1333,5672,7077,2790,5614.5,47579,6770,44276,1695,2715,7487.75,4409,7256,31613,6624
12107,13265,7772,3428,3759.5,26285,12333.5,9147.75,563.25,54168,20909,700,733,1298,5657,6864,2752,5583.75,45504,6543,43504,1663,2705,7269.75,4306,6948,31308,6573
12293,12994,7579,3364,3621,24838.5,12331.25,9188.5,553.5,51933.25,19859,665,710,1240,5604,6617.75,2663,5324.5,46882,6444,41187,1548,2616,6605,4013,6647,30451,6541
12137,12407,7206,3171,3497.5,22152.5,11868.75,8944,523,48410.5,18613,592,660,1159,5292,6064.5,2542,5068,46719,6449,38256,1429,2340,6097.25,3656,6201,28236,6256
11843,11684,6867,3044,3232,20210,11157.75,8442.25,489.25,45757.25,17442,549,625,1088,4938,5737,2402,4721,43055,6031,35307,1305,2065,5828.75,3401,5819,27251,5798
11642,11279,6697,2927,2966,19243,10723.25,8212,470,44475,16645,540,595,1057,4828,5444.25,2305,4463.75,40800,5754,33177,1261,1910,5681,3252,5555,25860,5410
11192,11005,6633,2849,2834,18692,10464.25,8011.75,458.75,43350.75,16293,525,578,1039,4781,5395.75,2258,4298.25,39415,6245,31737,1246,1831,5625,3197,5364,24810,5131
11140,10801,6618,2834,2768,18186.5,10349,7948.25,457.25,43342.25,16214,502,558,1032,4783,5281,2270,4262.75,37537,6354,30996,1251,1794,5619.25,3197,5251,24393,4929
11111,10995,6721,2847,2709,17845,10312.25,7975.75,462.5,44082.75,16021,525,586,1029,4761,5386,2330,4279.75,36963,6991,30766,1271,1799,5622.75,3282,5317,24127,4864
11353,11544,7338,3001,2698.5,18378,10317,8121.5,481.75,46332.75,16366,602,711,1091,4699,5829.5,2448,4421.75,38022,6661,31382,1315,1779,5919.5,3534,5415,24494,4813
12276,12763,7663,3396,2691,21139.5,10597.75,8588,538.25,52714.25,18447,703,811,1170,4987,6749.75,2856,4889,40253,6178,34389,1550,2043,6591,3855,5959,26185,4853
12829,13783,7874,3854,2900,24029,11130.25,9277.75,600,57982.5,20181,809,885,1245,5378,7456.5,3105,5137,43881,6090,38911,1644,2299,7215.25,4184,6656,28274,5003
12954,14057,8023,4212,3346,25594,10974.75,9862.25,632,60924.25,21079,856,958,1323,5786,7753.5,3288,5154.5,47484,6764,43271,1664,2507,7532.5,4354,7271,29968,5496
